Lead Number,Lead Origin,Lead Source,ToBeConverted,TotalVisits,Total Time Spent on Website,Last Activity,Lead Quality,Last Notable Activity
644380,API,Olark Chat,1,6,983,Email Opened,,Email Opened
644343,Landing Page Submission,Direct Traffic,0,3,40,Email Opened,Not Sure,Email Opened
644295,Landing Page Submission,Google,1,5,1489,SMS Sent,Might be,SMS Sent
644290,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
644288,Landing Page Submission,Direct Traffic,0,3,250,SMS Sent,Worst,Modified
644286,Landing Page Submission,Google,0,6,101,Page Visited on Website,Might be,Page Visited on Website
644282,API,Google,1,16,1059,Page Visited on Website,Might be,Page Visited on Website
644264,Landing Page Submission,Google,0,5,312,Email Opened,Low in Relevance,Email Opened
644261,Landing Page Submission,Google,0,4,320,Email Opened,,Email Opened
644257,Landing Page Submission,Google,1,3,784,Converted to Lead,Might be,Modified
644249,API,Google,1,2,969,Email Opened,Low in Relevance,Email Opened
644247,API,Google,1,4,1184,Email Opened,High in Relevance,Email Opened
644246,API,Google,1,4,995,Email Opened,Low in Relevance,Email Opened
644225,API,Google,0,6,481,Email Opened,,Modified
644223,API,Google,0,3,42,Email Opened,,Email Opened
644222,Landing Page Submission,Direct Traffic,0,4,1596,SMS Sent,Might be,Modified
644221,API,Google,0,3,7,SMS Sent,,SMS Sent
644211,Landing Page Submission,Organic Search,1,11,374,Email Opened,Might be,Email Opened
644197,Landing Page Submission,Google,1,4,688,Email Opened,Low in Relevance,Email Opened
644186,Landing Page Submission,Google,0,5,30,Email Opened,,Email Opened
644182,Landing Page Submission,Google,0,12,348,Converted to Lead,Worst,Modified
644181,Landing Page Submission,Direct Traffic,1,2,118,SMS Sent,Might be,SMS Sent
644174,Landing Page Submission,Direct Traffic,1,3,1024,Email Opened,High in Relevance,Email Opened
644173,API,Google,0,3,1344,Email Opened,,Email Opened
644160,API,Google,0,2,127,SMS Sent,Might be,Modified
644144,Landing Page Submission,Google,0,3,783,Email Opened,Might be,Email Opened
644143,API,Google,0,4,152,View in browser link Clicked,,Modified
644137,Landing Page Submission,Google,1,4,847,Email Opened,High in Relevance,Email Opened
644130,Landing Page Submission,Google,1,4,1017,SMS Sent,Might be,SMS Sent
644129,Landing Page Submission,Google,1,4,1337,Email Opened,Not Sure,Email Opened
644125,Landing Page Submission,Google,0,8,367,SMS Sent,Might be,Modified
644122,Landing Page Submission,Google,0,6,90,Olark Chat Conversation,,Modified
644118,API,Olark Chat,0,0,0,Olark Chat Conversation,Worst,Modified
644117,Landing Page Submission,Organic Search,0,9,186,Unreachable,,Unreachable
644111,API,Organic Search,0,2,1978,SMS Sent,,Modified
644087,Landing Page Submission,Google,1,5,777,Page Visited on Website,High in Relevance,Page Visited on Website
644080,Lead Add Form,Reference,1,0,0,SMS Sent,High in Relevance,Modified
644076,Landing Page Submission,Direct Traffic,1,3,31,Email Opened,Might be,Email Opened
644069,API,Olark Chat,0,0,0,Olark Chat Conversation,Worst,Modified
644068,Landing Page Submission,Google,1,4,62,Email Link Clicked,Might be,Email Link Clicked
644065,Landing Page Submission,Direct Traffic,1,2,931,Email Opened,Low in Relevance,Modified
644064,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
644042,API,Google,1,4,1272,SMS Sent,Might be,SMS Sent
644036,API,Google,0,5,324,Email Opened,,Modified
644029,Landing Page Submission,Google,0,6,277,Email Opened,,Email Opened
644023,API,Olark Chat,0,0,0,Email Bounced,,Modified
644013,Landing Page Submission,Google,1,4,1381,Email Opened,Not Sure,Email Opened
644006,API,Google,0,2,535,Olark Chat Conversation,,Modified
644000,Lead Add Form,Reference,1,,1835,,Might be,Modified
643998,API,Social Media,1,2,942,Olark Chat Conversation,Might be,Modified
643986,Lead Add Form,Reference,1,0,0,Email Opened,Low in Relevance,Modified
643980,Landing Page Submission,Direct Traffic,0,6,326,Email Opened,,Modified
643977,API,Google,1,2,1429,SMS Sent,Might be,SMS Sent
643976,Landing Page Submission,Google,1,4,1205,Email Opened,High in Relevance,Email Opened
643974,API,Google,0,2,96,Email Bounced,Not Sure,Modified
643963,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
643951,Landing Page Submission,Organic Search,0,6,5,Email Opened,Not Sure,Email Opened
643946,API,Google,1,4,1245,SMS Sent,Not Sure,SMS Sent
643945,API,Google,1,2,1101,SMS Sent,Might be,Modified
643938,Lead Add Form,Reference,1,2,826,Form Submitted on Website,Might be,Modified
643937,API,Olark Chat,1,3,430,Email Opened,Might be,Email Opened
643936,Lead Add Form,Reference,1,0,0,Email Opened,Might be,Email Opened
643930,API,Organic Search,1,2,345,Had a Phone Conversation,High in Relevance,Modified
643923,Lead Add Form,Reference,1,0,0,SMS Sent,Might be,Modified
643918,Lead Add Form,Reference,1,0,0,SMS Sent,Might be,Modified
643917,Lead Add Form,Reference,1,0,0,SMS Sent,Might be,Modified
643916,Landing Page Submission,Google,1,14,1241,Email Opened,Might be,Email Opened
643902,Lead Add Form,Reference,1,0,0,SMS Sent,Might be,Modified
643901,Lead Add Form,Reference,1,0,0,SMS Sent,High in Relevance,Modified
643899,Lead Add Form,,1,0,0,SMS Sent,Might be,SMS Sent
643897,Lead Add Form,Reference,1,0,0,SMS Sent,Might be,Modified
643891,API,Olark Chat,1,0,0,SMS Sent,Might be,SMS Sent
643889,Lead Add Form,Reference,1,0,0,Email Opened,Might be,Email Opened
643884,Lead Add Form,Reference,1,0,0,SMS Sent,Might be,Modified
643871,Lead Add Form,Reference,1,,759,,Might be,Modified
643848,Lead Add Form,Reference,1,0,0,SMS Sent,Might be,Modified
643845,API,Google,0,6,1178,Email Opened,Not Sure,Email Opened
643838,Lead Add Form,Reference,1,0,0,Email Opened,Low in Relevance,Email Opened
643832,Lead Add Form,Reference,1,0,0,SMS Sent,Might be,Modified
643831,Landing Page Submission,Google,0,4,222,Email Link Clicked,,Modified
643826,Landing Page Submission,Direct Traffic,0,17,104,Email Opened,,Email Opened
643819,Landing Page Submission,Google,1,6,251,SMS Sent,Might be,SMS Sent
643814,Landing Page Submission,Google,0,7,84,Email Opened,,Email Opened
643810,API,Google,0,2,1615,Email Opened,,Modified
643807,API,Google,0,2,416,SMS Sent,Might be,Modified
643801,Lead Add Form,Reference,1,0,0,SMS Sent,Might be,SMS Sent
643795,API,Organic Search,1,3,926,SMS Sent,Not Sure,SMS Sent
643788,API,Google,0,2,360,SMS Sent,Might be,Modified
643789,API,Google,1,2,1794,SMS Sent,,SMS Sent
643787,Landing Page Submission,Direct Traffic,1,2,850,Email Opened,Not Sure,Email Opened
643778,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
643772,API,Google,1,2,1069,Email Opened,Might be,Email Opened
643766,Landing Page Submission,Direct Traffic,0,2,326,Email Opened,Low in Relevance,Modified
643746,Landing Page Submission,Google,0,2,1458,Email Bounced,,Modified
643712,Landing Page Submission,Direct Traffic,1,3,1389,Email Link Clicked,Low in Relevance,Email Link Clicked
643701,Landing Page Submission,Organic Search,1,4,1171,Email Opened,Low in Relevance,Modified
643643,Landing Page Submission,Google,0,2,253,Form Submitted on Website,,Modified
643637,API,Google,1,2,1059,Email Opened,Low in Relevance,Email Opened
643634,Landing Page Submission,Google,0,5,266,SMS Sent,Might be,Modified
643628,Landing Page Submission,Direct Traffic,0,2,428,Email Opened,Might be,Email Opened
643623,Landing Page Submission,Google,0,3,1708,Email Opened,,Email Opened
643602,Landing Page Submission,Direct Traffic,0,2,8,Email Opened,,Modified
643593,API,Google,0,4,4,SMS Sent,,Modified
643583,Landing Page Submission,Google,1,4,1075,Email Opened,,Modified
643548,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
643546,Landing Page Submission,Direct Traffic,1,13,1018,SMS Sent,Not Sure,SMS Sent
643545,API,Google,0,5,108,Email Opened,,Email Opened
643534,API,Google,0,3,202,Page Visited on Website,Worst,Modified
643524,Landing Page Submission,Organic Search,0,3,560,SMS Sent,,Modified
643517,Landing Page Submission,Google,1,7,1302,Email Opened,Might be,Email Opened
643508,Landing Page Submission,Google,0,4,416,SMS Sent,,Modified
643505,Landing Page Submission,Direct Traffic,1,5,300,Email Opened,Not Sure,Email Opened
643496,Landing Page Submission,Google,1,3,1459,SMS Sent,,SMS Sent
643477,Landing Page Submission,Google,0,4,255,Page Visited on Website,Not Sure,Page Visited on Website
643467,Lead Add Form,Welingak Website,1,1,1046,Page Visited on Website,,Page Visited on Website
643461,API,Olark Chat,1,0,0,SMS Sent,,SMS Sent
643459,API,Olark Chat,0,8,180,Olark Chat Conversation,,Modified
643443,API,Google,1,13,1667,SMS Sent,Might be,SMS Sent
643401,Lead Add Form,Welingak Website,0,0,0,SMS Sent,,Modified
643386,API,Google,1,2,1576,SMS Sent,,SMS Sent
643384,Landing Page Submission,Google,0,5,651,Unreachable,Might be,Modified
643360,API,Olark Chat,0,0,0,Email Opened,,Modified
643356,API,Google,0,2,234,Email Link Clicked,,Modified
643343,Landing Page Submission,Google,0,5,129,SMS Sent,,Modified
643342,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
643324,Landing Page Submission,Google,1,3,1499,SMS Sent,Might be,SMS Sent
643320,Landing Page Submission,Google,0,6,71,Email Opened,Not Sure,Email Opened
643304,API,Google,0,2,53,SMS Sent,,Modified
643299,API,Olark Chat,1,0,0,Email Opened,,Email Opened
643296,API,Olark Chat,0,0,0,SMS Sent,,Modified
643292,API,Google,1,3,489,Email Opened,Low in Relevance,Email Opened
643289,Landing Page Submission,Google,1,5,1013,Email Opened,Low in Relevance,Email Opened
643287,API,Direct Traffic,0,2,702,Olark Chat Conversation,,Modified
643272,Lead Import,Facebook,0,0,0,SMS Sent,,Modified
643273,Lead Import,Facebook,0,,289,,,Modified
643274,Lead Import,Facebook,0,0,0,Email Opened,,Modified
643275,Lead Import,Facebook,0,0,0,SMS Sent,,Modified
643276,Lead Import,Facebook,1,0,0,Email Opened,High in Relevance,Email Opened
643277,Lead Import,Facebook,1,0,0,Email Opened,High in Relevance,Email Opened
643278,Lead Import,Facebook,0,0,0,Email Opened,,Modified
643279,Lead Import,Facebook,0,8,76,Email Opened,,Email Opened
643280,Lead Import,Facebook,0,0,0,Email Opened,,Email Opened
643281,Lead Import,Facebook,1,0,0,Email Opened,Might be,Email Opened
643282,Lead Import,Facebook,1,0,0,Email Opened,Might be,Email Opened
643283,Lead Import,Facebook,1,0,0,SMS Sent,Might be,Modified
643268,API,Olark Chat,0,0,0,Email Opened,,Email Opened
643263,API,Google,1,2,925,Olark Chat Conversation,,Modified
643247,Landing Page Submission,WeLearn,1,2,1184,Email Opened,Low in Relevance,Email Opened
643233,API,Olark Chat,1,4,263,Email Opened,,Email Opened
643228,Landing Page Submission,Google,1,3,949,Email Opened,,Email Opened
643227,API,Google,0,5,220,Olark Chat Conversation,,Modified
643219,Landing Page Submission,Direct Traffic,1,3,812,SMS Sent,Might be,SMS Sent
643215,API,Google,1,3,1213,Email Opened,,Email Opened
643208,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
643201,Landing Page Submission,Google,0,4,239,SMS Sent,Not Sure,Modified
643198,Landing Page Submission,Google,1,3,1622,Email Opened,,Email Opened
643191,Landing Page Submission,Direct Traffic,0,4,177,Email Opened,,Email Opened
643173,API,Olark Chat,0,1,216,Olark Chat Conversation,,Modified
643170,API,Olark Chat,0,0,0,Olark Chat Conversation,Worst,Modified
643169,Landing Page Submission,Direct Traffic,0,7,268,Email Opened,Not Sure,Email Opened
643163,Landing Page Submission,Google,0,5,282,SMS Sent,,Modified
643158,Landing Page Submission,Direct Traffic,0,2,367,Unreachable,Not Sure,Modified
643157,API,Google,0,14,174,Page Visited on Website,Might be,Page Visited on Website
643151,Lead Add Form,Welingak Website,1,0,0,SMS Sent,,Modified
643149,Landing Page Submission,Direct Traffic,0,2,316,Email Opened,,Modified
643127,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
643106,API,Olark Chat,1,0,0,SMS Sent,,SMS Sent
643101,API,Google,1,4,1167,Email Opened,High in Relevance,Email Opened
643090,API,Google,0,7,1320,Email Opened,,Email Opened
643088,Landing Page Submission,Google,0,3,1083,Email Bounced,,Email Bounced
643078,Landing Page Submission,Direct Traffic,0,10,432,Unsubscribed,,Unsubscribed
643072,API,Google,0,2,157,Email Opened,,Email Opened
643065,API,Google,0,2,407,Page Visited on Website,,Modified
643058,Landing Page Submission,Google,0,6,950,Email Bounced,Worst,Modified
643054,Landing Page Submission,Direct Traffic,0,3,100,SMS Sent,,Modified
643053,Landing Page Submission,Google,1,8,2137,SMS Sent,Might be,SMS Sent
643051,Landing Page Submission,Google,1,10,1131,Email Opened,Low in Relevance,Modified
643040,Landing Page Submission,Direct Traffic,0,6,5,Page Visited on Website,,Page Visited on Website
643038,API,Google,1,4,932,Email Opened,Might be,Email Opened
643032,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
643001,API,Google,0,2,531,Unsubscribed,,Unsubscribed
642991,API,Olark Chat,0,0,0,Email Link Clicked,,Modified
642990,Lead Add Form,Reference,1,0,0,Had a Phone Conversation,High in Relevance,Modified
642987,Lead Add Form,Reference,1,0,0,Email Opened,High in Relevance,Email Opened
642986,Landing Page Submission,Google,0,5,240,Email Opened,Not Sure,Modified
642972,API,Olark Chat,0,0,0,Email Opened,Not Sure,Email Opened
642969,Landing Page Submission,Direct Traffic,0,3,1041,SMS Sent,,Modified
642967,Landing Page Submission,Organic Search,0,3,155,Page Visited on Website,Worst,Modified
642963,API,Google,0,2,11,Olark Chat Conversation,,Modified
642954,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
642951,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
642941,Landing Page Submission,Direct Traffic,0,2,59,SMS Sent,,Modified
642937,API,Olark Chat,0,0,0,Email Opened,,Modified
642933,Landing Page Submission,Direct Traffic,1,3,1250,SMS Sent,,SMS Sent
642914,API,Olark Chat,0,0,0,SMS Sent,,Modified
642907,API,Olark Chat,0,0,0,Email Opened,Might be,Email Opened
642895,Landing Page Submission,Direct Traffic,1,3,803,Email Link Clicked,Not Sure,Email Link Clicked
642886,API,Google,0,14,148,Email Opened,Not Sure,Email Opened
642881,Landing Page Submission,Google,1,5,1024,Email Opened,Low in Relevance,Email Opened
642875,API,Google,0,4,46,Olark Chat Conversation,Not Sure,Modified
642856,Landing Page Submission,Google,1,4,1590,Email Opened,Might be,Email Opened
642855,Landing Page Submission,Google,0,6,361,Email Opened,Not Sure,Email Opened
642846,Landing Page Submission,Google,0,4,85,Email Opened,,Email Opened
642841,API,Google,0,3,37,Email Opened,,Email Opened
642834,API,Google,1,4,262,SMS Sent,Low in Relevance,Modified
642832,Landing Page Submission,Google,0,3,559,Email Opened,,Email Opened
642813,Landing Page Submission,Organic Search,0,5,314,Email Opened,Not Sure,Email Opened
642806,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
642802,Landing Page Submission,Organic Search,0,3,276,SMS Sent,Not Sure,Modified
642801,Lead Add Form,Reference,1,0,0,SMS Sent,Might be,SMS Sent
642798,API,Google,1,2,1734,Email Opened,Low in Relevance,Modified
642796,Landing Page Submission,Google,0,6,152,Email Opened,,Email Opened
642791,Landing Page Submission,Direct Traffic,0,7,265,Page Visited on Website,,Page Visited on Website
642785,Landing Page Submission,Google,0,7,1115,SMS Sent,,Modified
642784,API,Google,1,4,1295,SMS Sent,High in Relevance,SMS Sent
642781,Landing Page Submission,Google,0,4,108,SMS Sent,,Modified
642764,API,Google,1,2,1290,SMS Sent,Might be,Modified
642741,API,Olark Chat,0,0,0,Email Opened,,Email Opened
642724,API,Olark Chat,0,0,0,Email Opened,,Email Opened
642719,Landing Page Submission,Organic Search,0,4,436,Email Opened,,Email Opened
642640,API,Google,1,3,736,Email Opened,Low in Relevance,Email Opened
642635,Landing Page Submission,Direct Traffic,1,5,1459,Email Opened,Low in Relevance,Email Opened
642628,Landing Page Submission,Direct Traffic,1,2,811,Email Opened,Might be,Email Opened
642612,Landing Page Submission,Organic Search,1,7,1460,Email Opened,Might be,Email Opened
642590,Landing Page Submission,Direct Traffic,0,2,227,Email Opened,,Email Opened
642574,Landing Page Submission,Direct Traffic,0,2,76,Email Opened,,Email Opened
642553,Landing Page Submission,Organic Search,0,8,241,SMS Sent,Worst,Modified
642544,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
642543,Landing Page Submission,Organic Search,1,4,562,SMS Sent,Might be,SMS Sent
642531,Landing Page Submission,Direct Traffic,1,7,1126,Email Opened,,Email Opened
642522,Landing Page Submission,Google,1,1,1716,Converted to Lead,Low in Relevance,Modified
642510,Landing Page Submission,Organic Search,1,3,534,Email Opened,High in Relevance,Email Opened
642495,API,Organic Search,0,2,30,Email Opened,,Email Opened
642490,Landing Page Submission,Direct Traffic,0,9,1442,SMS Sent,Might be,Modified
642477,Landing Page Submission,Direct Traffic,0,1,1156,Converted to Lead,,Modified
642470,Landing Page Submission,Google,0,4,434,Email Opened,,Email Opened
642466,API,Olark Chat,0,0,0,Email Opened,,Modified
642456,API,Olark Chat,1,3,166,Email Opened,Low in Relevance,Email Opened
642455,Landing Page Submission,Direct Traffic,0,5,80,Page Visited on Website,,Page Visited on Website
642452,Landing Page Submission,Direct Traffic,1,2,1948,SMS Sent,Might be,SMS Sent
642443,Landing Page Submission,Organic Search,0,3,986,Unreachable,,Modified
642439,Landing Page Submission,Direct Traffic,0,22,601,Page Visited on Website,,Page Visited on Website
